time_step  time  K  U  H  kT  p  msd 
790 1.580000 322.500817 -1117.454704 -794.953887 0.843139 1.286595 0.405602
800 1.600000 327.119523 -1122.331175 -795.211652 0.855214 1.186223 0.410072
810 1.620000 321.116935 -1116.539556 -795.422621 0.839521 1.247148 0.414851
820 1.640000 313.911738 -1109.324636 -795.412898 0.820684 1.340152 0.419875
830 1.660000 312.638467 -1107.870369 -795.231902 0.817355 1.354068 0.424939
840 1.680000 319.546259 -1114.710901 -795.164642 0.835415 1.258285 0.429990
850 1.700000 320.307257 -1115.562749 -795.255492 0.837405 1.248813 0.435203
860 1.720000 312.737141 -1107.948373 -795.211231 0.817613 1.362141 0.440545
870 1.740000 311.755847 -1106.771281 -795.015434 0.815048 1.401275 0.445835
880 1.760000 314.004090 -1108.854151 -794.850061 0.820926 1.387742 0.451239
890 1.780000 320.233937 -1115.010624 -794.776687 0.837213 1.300871 0.457062
900 1.800000 332.541730 -1127.595758 -795.054028 0.869390 1.121605 0.463495
910 1.820000 332.597584 -1128.207205 -795.609621 0.869536 1.106090 0.470504
920 1.840000 312.042081 -1107.838280 -795.796199 0.815796 1.371611 0.477616
930 1.860000 302.649479 -1098.054938 -795.405459 0.791240 1.501575 0.484012
940 1.880000 313.860383 -1108.943386 -795.083002 0.820550 1.357527 0.489633
950 1.900000 323.238340 -1118.349627 -795.111287 0.845068 1.235897 0.495317
960 1.920000 318.419896 -1113.680279 -795.260383 0.832470 1.318619 0.501772
970 1.940000 304.967437 -1100.020341 -795.052904 0.797300 1.535201 0.509070
980 1.960000 300.638057 -1095.222296 -794.584239 0.785982 1.633837 0.516773
990 1.980000 303.753375 -1097.826387 -794.073012 0.794126 1.609656 0.524397
1000 2.000000 314.003254 -1107.770714 -793.767460 0.820924 1.469118 0.531763
1010 2.020000 322.346307 -1116.127623 -793.781315 0.842735 1.340320 0.539059
1020 2.040000 325.372575 -1119.330783 -793.958208 0.850647 1.281367 0.546526
1030 2.060000 328.358879 -1122.623507 -794.264629 0.858455 1.237786 0.554128
1040 2.080000 320.490447 -1115.013762 -794.523315 0.837884 1.346721 0.561717
